code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g
00031165	Tarte noix de pécan	1879	6.9	31.9	31.4	15.7	449	12.9	0.3	0.12			
0003117172301	Jambon cuit aux herbes de provence dentelles	464	20	3	0.9	0.9	111	1.2	2	0.8			5
00031172	Tarte passion meringuée	1264	4.3	11.3	45.2	27.8	302	6.5	0.3	0.12	1.1	14	15
00031200029997	100% Grapefruit	151	0.8	0	8.37	6.77	36		0.02032	0.008128		100	
0003121761	Quench sports gum	1395	0	0	66.666666666667	66.666666666667	333.33333333333	0	0.55555555555555	0.22222222222222			
00031233	Super chicken spinach & quinoa												
00031250	Garrofina	2088	4.1	37.5	47.5	34.9	499	4.4	0.03	0.012			
00031271	Pomegranate												
0003128296	Lasagne Bolognese	678	7.80000019073486	9.39999961853027	11.3000001907349	2.59999990463257	162	3.09999990463257					
00031288	Tarte citron meringuée	1167	4.2	10	42	27	279	5	0.2	0.08	0.7	1.1	12
00031295	pummelos												
0003129762	Lasagnes façon bolognaise	623	7	8	12	2	149	3					
00031318	Salade de fruits exotiques	310	0.6	0.2	17.4	16	74	0.1	0.1	0.04	1.4	12.5	2
00031370	Gel acido silicico												
00031394	Gâteau à la Carotte avec des Noix	1619	4.5	18	50.3	35	387	5.3	0.38	0.152	2.4	19	15
0003140000008	Açai	2234	8.6000003814697	44.5	8.5	1	534	11	0.15999999642372	0.063999998569488			
00031479	Sweet & crunchy side	138	1.5	0.6	4.3	3.1	33	0.1	0.03	0.012	2.3	39	
00031512002320004342	Lomo de atún	498	22	3.3	0	0	119	1	0.17	0.068			-4
00031519801819003728	Lomo de atún	490	23.7	2.1	2	0.5	117	0.7	0.2	0.08			
00031530	Noix de cajou crues	2481	21	46	21	5	593	9.2	0.04	0.016			7
00031561	Fromage blanc à la pêche	322	4.9	2.1	9.3	8.9	76.9	1.3	0.1	0.04	0.7	7.5	-1
0003160279507	Weiss, mit aprikosen fruchtfullung lebkuchen herzen	1519	4.8	7.3	66.6	41.8	363	5				0	
0003160441904	Pfeffernusse Glazed Gingerbread Cookies	1582	5.6	4.6	75.3		378					0	
00031615	Mexican style Rice & Avocado	587	3.1	5.2	18.8	3.2	140	0.8	0.55	0.22	2.8	26.2	0
0003163563658	Pain aux fruits												
00031646	Ananas au sirop	234	0	0	14	13	56	0	0	0	0.7	25	2
00031677	Compote de pomme	264	0.3	0.1	14	13	63	0.1	0.3	0.12	1.8	94	-3
000317925964	Cards												
00031813	Bio chouchou soleil												
00031844	Golden sirup	1372	0.3	0.5	82	82	328	0	0.03	0.012			
00031858	Pur Soup' Velouté de légumes	188	0.8	2.1	5.3	2.4		0.7	0.75	0.3	0.8	38	3
00031882	Compote de poire	322	0.3	0.4	16.8	12.3	77	0.1	0.01	0.004	1.8	83.3333333333333	-4
00031929	Fresh Mint Breath Spray	4	0	0	0.01	0	1	0	0	0			
0003199694104	Émincé de bacon	457	22.6666666666667	2.26666673024495	0.666666666666667	0.666666666666667	109.333333333333	0.800000031789144					
00032	Omega 3												
000320	Body & Earth, Inc												
0003200003086	Carrot Patties	745	3.8	9.5	17.9	6.1	178	1.3	0.89	0.356	2.8		
000320010118	Pulpe de tomates en dés												
00032018	Baguette T80												
00032056	Mild Spanish Manzanilla & Full Flavoured Cuquillo Olives	1096	1	27.6	1	0.4	262	4.1	2.75	1.1			25
00032086													
0003210000006	Moras negras	1008	8.6	1.53	62.4	28.5	241	0	0.25	0.1			
000321082842	Blackberry	180			4.90000009536743		43				5		
00032155	Spaghetti	665	5.2	0.7	32.3	1.6	159	0.1			1.4	0	
00032216	Brie & Bacon sandwich triangle	1218	11.5	16.6	23.1	5.3	291	5.5	1.2	0.48			14
00032247	Cornish creamy whole milk	24	0.5	5.7	3.5	0.5	5.7	4.6	0.15	0.06			
00032292	Sparkling British Elderflower Presse												
